TIME,POWER(WATTS),CPULOAD(PERCENT),MEMUSED(MB),MEMFREE(MB)
1700659760,461,96.06,23887,349766
1700659767,427,96.06,23883,349767
1700659773,427,96.05,23883,349768
1700659779,461,96.13,23892,349758
1700659785,470,96.12,23889,349761
1700659790,470,96.11,23895,349755
1700659797,466,96.1,23890,349761
1700659803,468,96.09,23891,349758
1700659809,456,96.16,23890,349759
1700659815,460,96.14,23891,349758
1700659820,462,96.13,23891,349759
1700659827,459,96.12,23892,349758
1700659833,414,96.03,23891,349758
1700659839,462,96.11,23894,349756
1700659846,465,96.1,23894,349754
1700659851,467,96.09,23898,349752
1700659857,466,96.08,23898,349751
1700659864,470,96.07,23899,349751
1700659870,463,96.06,23899,349749
1700659876,459,96.06,23902,349746
1700659881,463,96.05,23904,349744
1700659887,469,96.05,23907,349741
1700659893,469,96.04,23908,349740
1700659899,458,96.04,23906,349741
1700659906,464,96.04,23908,349738
1700659911,465,96.03,23911,349737
1700659917,472,96.03,23913,349735
1700659923,462,96.03,23908,349739
1700659929,465,96.02,23907,349740
1700659935,466,95.94,23908,349739
1700659941,461,95.95,23907,349739
1700659947,459,95.95,23909,349736
1700659953,444,96.04,23907,349739
1700659959,402,96.04,23907,349738
1700659965,457,96.03,23910,349737
1700659970,454,96.03,23914,349731
1700659977,471,96.03,23916,349730
1700659983,463,96.03,23918,349729
1700659989,462,96.02,23918,349727
1700659995,465,96.02,23919,349727
1700660000,459,96.02,23916,349728
1700660007,458,96.02,23917,349728
1700660013,461,96.02,23915,349729
1700660019,430,96.01,23916,349727
1700660025,436,96.01,23921,349723
1700660030,439,96.01,23919,349724
1700660037,458,96.01,23923,349721
1700660043,467,95.93,23921,349721
1700660049,468,95.94,23926,349717
1700660055,461,96.03,23929,349715
1700660060,466,96.02,23926,349717
1700660067,453,96.02,23930,349714
1700660073,471,96.02,23924,349719
1700660079,461,96.02,23927,349717
1700660085,440,96.02,23923,349719
1700660090,432,96.01,23924,349718
1700660097,450,96.01,23926,349717
1700660103,469,96.01,23927,349716
1700660109,470,96.01,23930,349711
1700660115,470,96.01,23925,349716
1700660120,464,96.01,23929,349712
1700660127,468,96.01,23931,349710
1700660133,474,96.01,23931,349710
1700660139,463,96.01,23931,349710
1700660145,455,96.01,23933,349709
1700660150,440,96.01,23932,349709
1700660157,442,96.08,23934,349706
1700660163,463,96,23934,349706
1700660169,476,96,23937,349704
1700660175,468,96.08,23939,349701
1700660180,461,96.07,23940,349701
1700660187,462,96.07,23938,349701
1700660193,463,96.06,23943,349698
1700660199,456,96.2,23942,349698
1700660205,460,96.18,23944,349696
1700660210,449,96.09,23945,349694
1700660217,437,96.16,23948,349692
1700660223,475,96.07,23949,349691
1700660229,469,96.06,23948,349690
1700660235,476,96.05,23949,349690
1700660240,466,96.05,23949,349690
1700660247,469,96.04,23950,349690
1700660253,471,96.04,23950,349689
1700660259,449,96.12,23953,349686
1700660265,425,96.11,23954,349684
1700660270,444,96.1,23948,349690
1700660277,461,96.09,23949,349689
1700660283,474,96.08,23950,349688
1700660289,467,96.07,23949,349689
1700660295,470,96.06,23948,349690
1700660300,461,96.06,23952,349686
1700660307,466,96.05,23955,349683
1700660313,463,96.13,23959,349678
1700660319,469,96.18,23954,349683
1700660325,446,96.17,23955,349681
1700660330,465,96.16,23962,349676
1700660337,465,96.14,23967,349671
1700660343,473,96.13,23970,349668
1700660349,465,96.11,23970,349668
1700660355,476,96.1,23970,349667
1700660360,460,96.09,23964,349672
1700660367,472,96.09,23964,349672
1700660373,475,96.08,23965,349671
1700660379,472,96.07,23964,349673
1700660385,455,96.06,23964,349672
1700660390,453,96.06,23969,349667
1700660397,412,96.05,23968,349668
1700660403,456,96.05,23965,349671
1700660409,467,96.04,23968,349667
1700660415,471,96.04,23971,349664
1700660420,450,96.04,23971,349663
1700660427,460,96.03,23973,349664
1700660433,466,96.03,23975,349661
1700660439,470,96.03,23974,349661
1700660445,465,96.02,23977,349658
1700660450,468,96.02,23978,349657
1700660457,434,96.02,23980,349657
1700660463,426,96.02,23978,349658
1700660469,466,96.02,23975,349660
1700660475,468,96.01,23976,349659
1700660480,458,96.01,23981,349655
1700660487,464,96.01,23982,349655
1700660493,466,96.01,23974,349661
1700660499,473,96.01,23977,349658
1700660505,471,96.01,23980,349654
1700660510,473,96.01,23974,349658
1700660517,451,96.01,23980,349654
1700660523,420,96.01,23982,349652
1700660529,463,96.01,23988,349644
1700660535,470,96.01,23983,349651
1700660540,451,96,23981,349652
1700660547,464,96,23982,349651
1700660553,464,96,23986,349648
1700660559,452,96,23986,349646
1700660566,435,96,23981,349652
1700660571,467,96,23979,349654
1700660577,418,96,23980,349653
1700660583,458,96,23984,349650
1700660590,345,96,23987,349647
1700660596,423,96,23982,349650
1700660601,431,96,23986,349647
1700660607,460,96,23990,349643
1700660613,460,96,23988,349645
1700660619,470,96,23991,349640
1700660625,471,96,23991,349640
1700660631,478,96,23994,349638
1700660637,473,96.08,23992,349640
1700660643,483,96.07,7901,366623
1700660649,183,88.38,7894,366628
1700660655,159,81.3,7896,366626
1700660661,84,74.79,7899,366622
1700660667,164,68.8,7897,366624
1700660673,79,63.29,7900,366621
1700660679,88,53.64,7902,366618
1700660685,190,49.35,7905,366617
1700660690,125,45.39,7908,366614
1700660696,90,41.76,7907,366615
